City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vanimo,-2.6741,141.3028,27.72,79,100,1.21,PG,1688958079
83,hithadhoo,-0.6,73.0833,27.24,71,9,0.46,MV,1688958079
84,tari,12.4086,4.4914,26.46,72,91,4.16,NG,1688958080
85,margaret river,-33.95,115.0667,16.78,75,20,7.75,AU,1688958080
86,poyarkovo,49.6,128.6833,27.74,32,65,4.38,RU,1688958080
87,gadzhiyevo,69.2551,33.3362,7.53,76,19,1.75,RU,1688958080
88,mogadishu,2.0371,45.3438,23.34,91,54,5.7,SO,1688958010
89,constitucion,-35.3333,-72.4167,8.85,78,64,3.87,CL,1688958081
90,isafjordur,66.0755,-23.124,11.32,70,64,0.99,IS,1688958081
91,uturoa,-16.7333,-151.4333,26.7,81,71,9.99,PF,1688958082
92,arish,31.1316,33.7984,24.67,77,1,4.74,EG,1688958082
93,lebu,-37.6167,-73.65,7.36,76,18,2.78,CL,1688958082
94,cruzeiro,-22.5761,-44.9628,15.94,95,100,0.44,BR,1688958083
95,walvis bay,-22.9575,14.5053,16.53,23,1,9.77,NA,1688958083
96,luderitz,-26.6481,15.1594,12.13,44,2,6.62,NA,1688958083
97,tura,25.5198,90.2201,27.26,88,100,2.72,IN,1688958083
98,port mathurin,-19.6833,63.4167,23.68,61,59,9.32,MU,1688958084
99,fisterra,42.9049,-9.2629,13.19,81,0,1.53,ES,1688958084
100,farmington,36.7281,-108.2187,33.38,43,0,3.09,US,1688957918
101,san luis de la loma,17.2706,-100.8939,25.99,93,100,0.92,MX,1688958084
102,kamloops,50.6665,-120.3192,28.55,38,75,4.02,CA,1688958009
103,yuzhno-kurilsk,44.0306,145.8556,19.3,80,96,1.3,RU,1688958085
104,iskateley,67.6803,53.1512,8.73,75,95,3.65,RU,1688958085
105,ancud,-41.8697,-73.8203,6.03,82,29,0.84,CL,1688958085
106,tiksi,71.6872,128.8694,6.28,61,100,4.67,RU,1688958086
107,neiafu,-18.65,-173.9833,26.38,73,40,4.12,TO,1688958086
108,mil'kovo,55.6078,37.7956,16.08,86,98,5.81,RU,1688958086
109,linkou,45.3,130.2833,26.68,67,91,2.08,CN,1688958086
110,tangalle,6.024,80.7911,27.09,73,100,5.28,LK,1688958086
111,klaksvik,62.2266,-6.589,12.51,98,99,3.13,FO,1688958087
112,greymouth,-42.4667,171.2,11.97,79,95,1.79,NZ,1688958039
113,jamestown,42.097,-79.2353,18.8,88,100,2.57,US,1688957997
114,dharamsala,32.2419,76.3213,17.98,89,100,1.42,IN,1688958087
115,boca do acre,-8.7522,-67.3978,25.59,72,80,0.98,BR,1688958088
116,vila do maio,15.1333,-23.2167,25.44,80,20,8.59,CV,1688958088
117,udachny,66.4167,112.4,26.92,36,2,10.17,RU,1688958088
118,carnarvon,-24.8667,113.6333,20.51,26,0,4.49,AU,1688958088
119,galesburg,40.9478,-90.3712,20.99,79,0,0.0,US,1688958089
120,papatowai,-46.5619,169.4708,10.94,74,97,0.91,NZ,1688958089
121,malangali,-8.5667,34.85,12.7,86,10,2.5,TZ,1688958089
122,sitka,57.0531,-135.33,14.0,72,24,3.39,US,1688958089
123,camocim,-2.9022,-40.8411,25.37,78,0,6.32,BR,1688958090
124,sos'va,59.1766,61.8558,19.63,80,89,2.42,RU,1688958090
125,enewetak,11.3474,162.3373,28.07,77,100,6.41,MH,1688958090
126,afaahiti,-17.75,-149.2833,27.93,82,82,9.89,PF,1688958091
127,bubaque,11.2833,-15.8333,27.38,84,92,3.99,GW,1688958091
128,freetown,8.484,-13.2299,25.02,87,100,2.9,SL,1688958032
129,nizhniy odes,63.6445,54.856,9.56,72,95,2.92,RU,1688958092
130,ndele,8.4109,20.6473,20.98,93,42,1.38,CF,1688958092
131,anadyr,64.75,177.4833,19.28,45,20,3.0,RU,1688958092
132,calabanga,13.7167,123.2333,31.77,62,65,3.56,PH,1688958092
133,kodiak,57.79,-152.4072,8.67,98,100,7.37,US,1688958052
134,sola,-13.8833,167.55,25.57,77,80,9.24,VU,1688958093
